year,LandAndOceanAverageTemperature
1750,
1751,
1752,
1753,
1754,
1755,
1756,
1757,
1758,
1759,
1760,
1761,
1762,
1763,
1764,
1765,
1766,
1767,
1768,
1769,
1770,
1771,
1772,
1773,
1774,
1775,
1776,
1777,
1778,
1779,
1780,
1781,
1782,
1783,
1784,
1785,
1786,
1787,
1788,
1789,
1790,
1791,
1792,
1793,
1794,
1795,
1796,
1797,
1798,
1799,
1800,
1801,
1802,
1803,
1804,
1805,
1806,
1807,
1808,
1809,
1810,
1811,
1812,
1813,
1814,
1815,
1816,
1817,
1818,
1819,
1820,
1821,
1822,
1823,
1824,
1825,
1826,
1827,
1828,
1829,
1830,
1831,
1832,
1833,
1834,
1835,
1836,
1837,
1838,
1839,
1840,
1841,
1842,
1843,
1844,
1845,
1846,
1847,
1848,
1849,
1850,14.867166916529337
1851,14.991833448410034
1852,15.006499926249186
1853,14.955166737238565
1854,14.990999937057495
1855,15.021083196004232
1856,14.87933317820231
1857,14.758250077565512
1858,14.881500085194906
1859,14.929916540781656
1860,14.882916609446207
1861,14.800666729609171
1862,14.740083535512289
1863,14.935750007629395
1864,14.896499872207642
1865,14.99666659037272
1866,15.057000080744425
1867,15.058666785558065
1868,15.096916516621908
1869,15.065499941507975
1870,15.00433341662089
1871,15.005916674931845
1872,15.019333521525065
1873,15.04925004641215
1874,14.957000096638998
1875,14.921916802724203
1876,14.909416755040487
1877,15.282666762669882
1878,15.357416868209839
1879,15.064416726430258
1880,15.008666594823202
1881,15.087166786193848
1882,15.056583484013876
1883,14.963249921798706
1884,14.833250125249227
1885,14.854416449864706
1886,14.835249980290731
1887,14.81599990526835
1888,14.994083325068155
1889,15.11341667175293
1890,14.840749979019165
1891,14.943833430608114
1892,14.882499933242798
1893,14.91224996248881
1894,14.914750019709269
1895,14.968999862670898
1896,15.090583244959513
1897,15.075333595275879
1898,14.886916557947794
1899,15.048333247502645
1900,15.143916606903076
1901,15.073333342870077
1902,14.958333412806192
1903,14.836583375930786
1904,14.81041661898295
1905,14.95466661453247
1906,15.031916777292887
1907,14.874833424886068
1908,14.83816663424174
1909,14.79033342997233
1910,14.819083213806152
1911,14.775999784469604
1912,14.877166668574015
1913,14.90874989827474
1914,15.076249917348227
1915,15.143749793370565
1916,14.901333491007486
1917,14.809749921162924
1918,14.95983330408732
1919,15.006749947865805
1920,15.026250203450521
1921,15.102083444595337
1922,15.012333393096924
1923,15.027833302815756
1924,15.039333502451578
1925,15.090333143870035
1926,15.24108330408732
1927,15.122250159581503
1928,15.1322500705719
1929,14.967416524887085
1930,15.172500054041544
1931,15.22824994723002
1932,15.188000043233236
1933,15.012916644414267
1934,15.144499937693277
1935,15.118833223978678
1936,15.16616678237915
1937,15.30050015449524
1938,15.293083270390829
1939,15.30233327547709
1940,15.372083187103271
1941,15.384666840235392
1942,15.32533327738444
1943,15.34500010808309
1944,15.44908332824707
1945,15.330749909083048
1946,15.262750069300333
1947,15.310166756312052
1948,15.26116681098938
1949,15.222749869028727
1950,15.139500300089518
1951,15.311166604359945
1952,15.363083283106485
1953,15.421083291371664
1954,15.230583190917969
1955,15.174333572387695
1956,15.106000026067099
1957,15.374083201090494
1958,15.382083415985107
1959,15.340500036875406
1960,15.291916847229004
1961,15.379916508992514
1962,15.325583378473917
1963,15.37666662534078
1964,15.117083390553793
1965,15.195749759674072
1966,15.264666875203451
1967,15.294166564941406
1968,15.263916651407877
1969,15.390499909718832
1970,15.332666714986166
1971,15.200000047683716
1972,15.292916695276896
1973,15.404750108718872
1974,15.168083429336548
1975,15.238666772842407
1976,15.131083250045776
1977,15.408250172932943
1978,15.30091659228007
1979,15.414166768391928
1980,15.491833289464315
1981,15.51616644859314
1982,15.34191664059957
1983,15.520250002543131
1984,15.34416667620341
1985,15.34066661198934
1986,15.383999745051065
1987,15.524500131607056
1988,15.555750052134195
1989,15.441583395004272
1990,15.62933341662089
1991,15.598000129063925
1992,15.45299998919169
1993,15.466416915257772
1994,15.53499984741211
1995,15.63783327738444
1996,15.524666547775269
1997,15.713833570480347
1998,15.825999657313028
1999,15.600333372751871
2000,15.610666831334433
2001,15.767500003178915
2002,15.829166571299234
2003,15.82658338546753
2004,15.7572500705719
2005,15.879249890645346
2006,15.813499927520752
2007,15.827333291371664
2008,15.72124973932902
2009,15.827166636784872
2010,15.89549994468689
2011,15.769500017166138
2012,15.80233327547709
2013,15.854416449864706
2014,15.912999947865805
2015,16.05858341852824
